Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 10:37:37,2019-09-21 10:40:30,2m - 52.497s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 10:37:49,2019-09-21 10:37:56,7.893s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 10:37:49,2019-09-21 10:37:49,0.001s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 10:37:49,2019-09-21 10:37:49,0.194s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 10:37:49,2019-09-21 10:37:51,2.006s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 10:37:51,2019-09-21 10:37:53,1.601s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 10:37:53,2019-09-21 10:37:53,0.211s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 10:37:53,2019-09-21 10:37:53,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 10:37:53,2019-09-21 10:37:53,0.001s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 10:37:53,2019-09-21 10:37:53,0.159s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 10:37:53,2019-09-21 10:37:53,0.498s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 10:37:53,2019-09-21 10:37:53,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 10:37:53,2019-09-21 10:37:56,3.002s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 10:37:56,2019-09-21 10:38:01,4.553s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 10:37:57,2019-09-21 10:37:57,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 10:37:57,2019-09-21 10:37:57,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 10:37:57,2019-09-21 10:37:57,0.176s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 10:37:57,2019-09-21 10:37:57,0.061s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 10:37:57,2019-09-21 10:37:57,0.001s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-21 10:37:57,2019-09-21 10:37:58,1.131s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-21 10:37:58,2019-09-21 10:37:58,0.001s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 10:37:58,2019-09-21 10:37:58,0.009s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 10:37:58,2019-09-21 10:38:01,3.002s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-21 10:38:01,2019-09-21 10:38:14,12.601s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 10:38:01,2019-09-21 10:38:01,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 10:38:01,2019-09-21 10:38:01,0.165s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-21 10:38:01,2019-09-21 10:38:07,5.340s,PASSED
"click(findTestObject(""Object Repository/PLPpage/EMIHightoLow""))",Chrome 77.0.3865.90,,,2019-09-21 10:38:07,2019-09-21 10:38:07,0.115s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 10:38:07,2019-09-21 10:38:09,2.000s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 10:38:09,2019-09-21 10:38:09,0.001s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 10:38:09,2019-09-21 10:38:09,0.094s,PASSED
"flag = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 10:38:09,2019-09-21 10:38:09,0.375s,PASSED
emi = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 10:38:09,2019-09-21 10:38:09,0.001s,PASSED
"emi.addAll(Resources.getallEMIValues(i, Resources.getTotalCount()))",Chrome 77.0.3865.90,,,2019-09-21 10:38:09,2019-09-21 10:38:11,1.358s,PASSED
"for ([j = 0, j < emi.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 10:38:11,2019-09-21 10:38:11,0.006s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 10:38:11,2019-09-21 10:38:14,3.002s,PASSED
,,,,,,,
Test Cases/AddingproductstoCompare,Chrome 77.0.3865.90,Verifying if the nos. of products added to compare are appropriate or not.,,2019-09-21 10:38:14,2019-09-21 10:38:50,36.025s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 10:38:14,2019-09-21 10:38:14,0.000s,PASSED
productNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 10:38:14,2019-09-21 10:38:14,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 10:38:14,2019-09-21 10:38:14,0.179s,PASSED
flag = false,Chrome 77.0.3865.90,,,2019-09-21 10:38:14,2019-09-21 10:38:14,0.000s,PASSED
"for ([i = 1, i <= nosOfProducts * 2, i += 2])",Chrome 77.0.3865.90,,,2019-09-21 10:38:14,2019-09-21 10:38:24,10.259s,PASSED
namesofProducts = productNames,Chrome 77.0.3865.90,,,2019-09-21 10:38:24,2019-09-21 10:38:24,0.001s,PASSED
